,model,param_config,filename,precision_prod,params,rank_prod
10,DecisionTreeClassifier,10,"(0, 2, 10)_DecisionTreeClassifier_date_params.csv",0.47619047619047616,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",217.0
11,DecisionTreeClassifier,11,"(0, 2, 11)_DecisionTreeClassifier_date_params.csv",0.45689655172413796,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 50, 'max_features': 7, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",226.0
12,DecisionTreeClassifier,12,"(0, 2, 12)_DecisionTreeClassifier_date_params.csv",0.44761904761904764,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",231.0
13,DecisionTreeClassifier,13,"(0, 2, 13)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 8, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
14,DecisionTreeClassifier,14,"(0, 2, 14)_DecisionTreeClassifier_date_params.csv",0.38175675675675674,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 7, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",256.0
15,DecisionTreeClassifier,15,"(0, 2, 15)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 100, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
16,DecisionTreeClassifier,16,"(0, 2, 16)_DecisionTreeClassifier_date_params.csv",0.4308176100628931,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 100, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",246.0
17,DecisionTreeClassifier,17,"(0, 2, 17)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 1, 'max_features': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
18,DecisionTreeClassifier,18,"(0, 2, 18)_DecisionTreeClassifier_date_params.csv",0.401840490797546,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 100, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",253.0
19,DecisionTreeClassifier,19,"(0, 2, 19)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 1, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
20,DecisionTreeClassifier,20,"(0, 2, 20)_DecisionTreeClassifier_date_params.csv",0.4482758620689655,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",229.0
21,DecisionTreeClassifier,21,"(0, 2, 21)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 7, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
22,DecisionTreeClassifier,22,"(0, 2, 22)_DecisionTreeClassifier_date_params.csv",0.3333333333333333,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 7, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",262.0
23,DecisionTreeClassifier,23,"(0, 2, 23)_DecisionTreeClassifier_date_params.csv",0.38144329896907214,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 100, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",257.0
24,DecisionTreeClassifier,24,"(0, 2, 24)_DecisionTreeClassifier_date_params.csv",0.46488294314381273,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",222.0
25,DecisionTreeClassifier,25,"(0, 2, 25)_DecisionTreeClassifier_date_params.csv",0.3704600484261501,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 100, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",259.0
26,DecisionTreeClassifier,26,"(0, 2, 26)_DecisionTreeClassifier_date_params.csv",0.36678200692041524,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 100, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",260.0
27,DecisionTreeClassifier,27,"(0, 2, 27)_DecisionTreeClassifier_date_params.csv",0.4548611111111111,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 100, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",227.0
28,DecisionTreeClassifier,28,"(0, 2, 28)_DecisionTreeClassifier_date_params.csv",0.4418604651162791,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 500, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",234.0
29,DecisionTreeClassifier,29,"(0, 2, 29)_DecisionTreeClassifier_date_params.csv",0.5357142857142857,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",149.0
30,DecisionTreeClassifier,30,"(0, 2, 30)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 8, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
31,DecisionTreeClassifier,31,"(0, 2, 31)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 1, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
32,DecisionTreeClassifier,32,"(0, 2, 32)_DecisionTreeClassifier_date_params.csv",0.5164473684210527,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",162.0
33,DecisionTreeClassifier,33,"(0, 2, 33)_DecisionTreeClassifier_date_params.csv",0.5029940119760479,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",191.0
34,DecisionTreeClassifier,34,"(0, 2, 34)_DecisionTreeClassifier_date_params.csv",0.4358108108108108,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 500, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",245.0
35,DecisionTreeClassifier,35,"(0, 2, 35)_DecisionTreeClassifier_date_params.csv",0.50199203187251,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",193.0
36,DecisionTreeClassifier,36,"(0, 2, 36)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
37,DecisionTreeClassifier,37,"(0, 2, 37)_DecisionTreeClassifier_date_params.csv",0.5092592592592593,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",180.0
38,DecisionTreeClassifier,38,"(0, 2, 38)_DecisionTreeClassifier_date_params.csv",0.42,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 50, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",251.0
39,DecisionTreeClassifier,39,"(0, 2, 39)_DecisionTreeClassifier_date_params.csv",0.44398340248962653,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 100, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",232.0
40,DecisionTreeClassifier,40,"(0, 2, 40)_DecisionTreeClassifier_date_params.csv",0.3724340175953079,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",258.0
41,DecisionTreeClassifier,41,"(0, 2, 41)_DecisionTreeClassifier_date_params.csv",0.349009900990099,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 100, 'max_features': 3, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",261.0
42,DecisionTreeClassifier,42,"(0, 2, 42)_DecisionTreeClassifier_date_params.csv",0.28125,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",264.0
43,DecisionTreeClassifier,43,"(0, 2, 43)_DecisionTreeClassifier_date_params.csv",0.3048780487804878,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",263.0
44,DecisionTreeClassifier,44,"(0, 2, 44)_DecisionTreeClassifier_date_params.csv",0.49174917491749176,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",198.0
45,DecisionTreeClassifier,45,"(0, 2, 45)_DecisionTreeClassifier_date_params.csv",0.42394822006472493,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",250.0
46,DecisionTreeClassifier,46,"(0, 2, 46)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 500, 'max_features': 7, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
47,DecisionTreeClassifier,47,"(0, 2, 47)_DecisionTreeClassifier_date_params.csv",0.48847926267281105,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 7, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",203.0
48,DecisionTreeClassifier,48,"(0, 2, 48)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
49,DecisionTreeClassifier,49,"(0, 2, 49)_DecisionTreeClassifier_date_params.csv",0.0,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 1, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",316.0
50,LogisticRegression,0,"(0, 1, 0)_LogisticRegression_date_params.csv",0.4846938775510204,"{'C': 2.195254015709299, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 474.22797922973854, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.3748321662847926, 'verbose': 0, 'warm_start': False}",210.0
51,LogisticRegression,1,"(0, 1, 1)_LogisticRegression_date_params.csv",0.5204081632653061,"{'C': 3.3890069551365016, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 409.2074943389851, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'saga', 'tol': 0.02054762512591133, 'verbose': 0, 'warm_start': False}",154.0
52,LogisticRegression,2,"(0, 1, 2)_LogisticRegression_date_params.csv",0.5126903553299492,"{'C': 3.567092003128319, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 707.396037776074, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'saga', 'tol': 0.02710162626224751, 'verbose': 0, 'warm_start': False}",171.5
53,LogisticRegression,3,"(0, 1, 3)_LogisticRegression_date_params.csv",0.4846938775510204,"{'C': 3.2486749151019727, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 324.7737390757847, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.5981221901152551, 'verbose': 0, 'warm_start': False}",210.0
54,LogisticRegression,4,"(0, 1, 4)_LogisticRegression_date_params.csv",0.5151515151515151,"{'C': 0.28414423279154777, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 172.5806204675633, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.012726958252506759, 'verbose': 0, 'warm_start': False}",166.5
55,LogisticRegression,5,"(0, 1, 5)_LogisticRegression_date_params.csv",0.4846938775510204,"{'C': 3.8286206358121855, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 188.01488987041907, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'saga', 'tol': 0.8626905220714902, 'verbose': 0, 'warm_start': False}",210.0
56,LogisticRegression,6,"(0, 1, 6)_LogisticRegression_date_params.csv",0.4898989898989899,"{'C': 3.1966342568668944, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 315.2473836461305, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.1088024288293846, 'verbose': 0, 'warm_start': False}",200.5
57,LogisticRegression,7,"(0, 1, 7)_LogisticRegression_date_params.csv",0.4846938775510204,"{'C': 2.882530618903667, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 382.74157144449765, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.6823493012435788, 'verbose': 0, 'warm_start': False}",210.0
58,LogisticRegression,8,"(0, 1, 8)_LogisticRegression_date_params.csv",0.5079365079365079,"{'C': 2.0873932870002867, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 292.36643829074757, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'saga', 'tol': 0.0036224052114559612, 'verbose': 0, 'warm_start': False}",182.0
59,LogisticRegression,9,"(0, 1, 9)_LogisticRegression_date_params.csv",0.5053191489361702,"{'C': 2.9476727085158325, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 212.5462569537209, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'saga', 'tol': 0.001138595338148941, 'verbose': 0, 'warm_start': False}",190.0
